Count - point,direction,point,,,,,,,,,,,,,,,,,,,,,,
,c,,,,cc,,,,Total Result,c,c,c,c,cc,cc,cc,cc,totals,totals,totals,totals,totals,totals,
country,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,c,cc,country
GP,,1,,1,,1,,1,4,0.00%,25.00%,0.00%,25.00%,0.00%,25.00%,0.00%,25.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,GP
LY,,3,,,,,,1,4,0.00%,75.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,75.00%,0.00%,25.00%,75.00%,25.00%,LY
PF,,2,,,,2,,,4,0.00%,50.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,PF
SO,,1,,,1,,,2,4,0.00%,25.00%,0.00%,0.00%,25.00%,0.00%,0.00%,50.00%,25.00%,25.00%,0.00%,50.00%,25.00%,75.00%,SO
SX,,,,,,3,,1,4,0.00%,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,25.00%,0.00%,75.00%,0.00%,25.00%,0.00%,100.00%,SX
AX,,,,,,3,,,3,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,AX
GI,2,,,,,1,,,3,66.67%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,66.67%,33.33%,0.00%,0.00%,66.67%,33.33%,GI
LA,,,,,,3,,,3,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,LA
MQ,2,,,,,1,,,3,66.67%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,66.67%,33.33%,0.00%,0.00%,66.67%,33.33%,MQ
NC,,1,,,,2,,,3,0.00%,33.33%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,33.33%,66.67%,NC
SM,,,,,,3,,,3,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,SM
